group,time_band,start_time,end_time,initial_hit_count
g1,09-12,09:00,12:00,0
g1,12-15,12:00,15:00,5
g1,15-18,15:00,18:00,5
g1,18-close,18:00,22:37,0
g2,09-12,09:00,12:00,0
g2,12-15,12:00,15:00,8
g2,15-18,15:00,18:00,8
g2,18-close,18:00,22:37,3
g3,09-12,09:00,12:00,1
g3,12-15,12:00,15:00,8
g3,15-18,15:00,18:00,9
g3,18-close,18:00,22:37,3
g4,09-12,09:00,12:00,4
g4,12-15,12:00,15:00,6
g4,15-18,15:00,18:00,5
g4,18-close,18:00,22:37,4
g5,09-12,09:00,12:00,3
g5,12-15,12:00,15:00,5
g5,15-18,15:00,18:00,4
g5,18-close,18:00,22:37,8
g6,09-12,09:00,12:00,1
g6,12-15,12:00,15:00,7
g6,15-18,15:00,18:00,3
g6,18-close,18:00,22:37,5
g7,09-12,09:00,12:00,1
g7,12-15,12:00,15:00,3
g7,15-18,15:00,18:00,9
g7,18-close,18:00,22:37,2
g8,09-12,09:00,12:00,2
g8,12-15,12:00,15:00,8
g8,15-18,15:00,18:00,5
g8,18-close,18:00,22:37,2
g9,09-12,09:00,12:00,4
g9,12-15,12:00,15:00,7
g9,15-18,15:00,18:00,4
g9,18-close,18:00,22:37,7
